Name,Gender,Region
Robert,m,westeuropaeisch 
Robin,m,westeuropaeisch 
Roman,m,suedeuropaeisch 
Samuel,m,hebraeisch 
Sebastian,m,suedeuropaeisch 
Simon,m,hebraeisch 
Sophie,m,suedeuropaeisch 
Stefan,m,suedeuropaeisch 
Sven,m,nordisch 
Thomas,m,hebraeisch 
Thorsten,m,nordisch 
Till,m,westeuropaeisch 
Tim,m,suedeuropaeisch 
Tobias,m,hebraeisch 
Udo,m,westeuropaeisch 
Uli,m,
Ulrich,m,westeuropaeisch 
Uriel,m,hebraeisch 
Uwe,m,westeuropaeisch 
Valentin,m,suedeuropaeisch 
Viktor,m,suedeuropaeisch 
Vilmar,m,
Vinzent,m,suedeuropaeisch 
Vinzenz,m,suedeuropaeisch 
Walter,m,westeuropaeisch 
Werner,m,westeuropaeisch 
Wilhelm,m,westeuropaeisch 
Willi,m,westeuropaeisch 
Wolfram,m,westeuropaeisch 
Xander,m,suedeuropaeisch 
Xaver,m,suedeuropaeisch 
Yannick,m,
Yorick,m,nordisch 
Yuma,m,
Zacharias,m,hebraeisch 
Zander,m,
Zarif,m,arabisch 
Zeno,m,suedeuropaeisch 
Zyprian,m,suedeuropaeisch 
